津波id,津波名,津波名(英語),文献id,文献名,文献名(英語),痕跡id,文献時代_市町村名,文献記載_地名,文献記載_かな,ひらがな・カナ,登録時_都道府県,登録時_市町村名,市町村名確認年月日,地点位置詳細情報,地名変遷等,地名_備考_仮位置,測地系,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,住所地番情報_信頼度,地図等情報_信頼度,測定対象物,証言等,津波堆積物_層厚,津波堆積物_出典,文献記載_測定基準面,文献記載_測定基準_信頼度,地盤変位z,最大波,文献記載_痕跡高_下限,文献記載_痕跡高_上限,文献記載_史料記載値,文献記載_痕跡パターン,文献記載_高さ定義_信頼度,文献記載の痕跡高さ備考,tp_基準面補正方法,tp_痕跡高_下限,tp_痕跡高_上限,tp_痕跡パターン,測定方法,測定方法_その他,痕跡信頼度,判定理由,信頼度判定者,文献,雑誌,参照頁等,引用史料,原資料所在,文献信頼度,文献信頼度―備考,史料集名等,記載内容及び図表,原文備考,検潮所名
"0021","1707宝永地震津波","1707 Hoei","35","伊豆下田に於ける過去地震津浪の高さ","Heights of Tunamis at Simoda in Southern Idu Peninsula","80","下田市","宝福寺","hofukuji","ほうふくじ","静岡県","下田市","2008現在","","","静岡県下田市、宝福寺","新測地系","34","40","34.871","138","56","34.249","○","○","宝福寺(竹林を測ったかどうか不明）","","","","TP","○","","","3.60","3.60","","浸水高","○","","","3.60","3.60","浸水高","","","B","古文書の記録（波先が宝福寺竹林迄来た）を元に測量を行っているが竹林を測量したかは不明のため"Ｂ"と判定（2012/06/28）","都司・松岡","伊豆下田における過去地震津波の高さ","東京大学地震研究所彙報14，P68-74","p.69","天保年間下田町書役・平井平次郎氏手記","","◎","","『日本地震史料』，1951，P249","「宝永4年丁亥10月4日未の刻、亦大地震津浪打寄,家敷912軒流亡,857軒流失,55軒半潰,船大小93艘破船痛船し,此時波先寶福寺中後園竹林の際に至ると云,云々」","「宝福寺の竹林はほとんど当時の侭にて現在もあるので，その際附近の高さを求めると中等海水面上360糎（センチメートル）にて津浪の高さも大体この程度であつたことが判る」",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","122","室戸市","室戸","muroto","むろと","高知県","室戸市","2008現在","","","高知県室戸市室津川河口部","新測地系","33","17","15.000","134","8","43.000","○","△","","","","","","△","（安政年度隆起100）","","6.50","6.50","","浸水高","○","","","0.00","0.00","","","","C","到達地点は確認できず"室津川河口部"を位置設定とし"C"と判定（2010/10/12）","","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.395・403","","","○","石段浸水伝承によっているようだが，信頼度はやや劣ると思われる．","","「同所の旧家にて海水の到達した位置を言伝へて今日に及べるものがある（中略）これと平均海水面との比較の為には近くに近年築造された防浪堤の頂上を利用した.其の結果として潮の高さは7.5米と出て来たが，陸地は其後安政年度に於て約1米隆起した事実があるから，差引6.5米の浪高であった（後略）」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","124","安芸市","安芸（安芸町）","aki","あき","高知県","安芸市","2008現在","","","高知県安芸市　安芸川河口部","新測地系","33","29","45.000","133","54","43.000","○","○","","安芸町某家所蔵宝永津浪に関する旧記","","","","△","","","5.60","5.60","","浸水高","○","","","0.00","0.00","","","","C","到達地点は確認できず"安芸川河口部"を位置設定とし"C"と判定（2010/10/12）","","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.395～396・403
p.396（第1図）","安芸町某家所蔵宝永津浪に関する旧記","","○","","","第1図　タイトルなし浸水図

「同町某家所蔵宝永津浪に関する旧記を借覧することが出来た（本誌前号史料参照）（中略）近くに標高8.36米の水準標があり，水先は此処から2.75米低い位置にまで来たことになるから，波高は5.6米であったとして差支ないであらう.（中略）陸地上下変動に関する修正を施す必要はない」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","126","須崎市","須崎","susaki","すさき","高知県","須崎市","2008現在","","","須崎市竹ノ内の池より北西約600mの地点","新測地系","33","23","27.000","133","17","39.000","○","○","","","","","測定時の平均海水面上","○","","","12.60","12.60","","浸水高","○","","","0.00","0.00","","","","B","到達地点として"竹ノ内の池より西北約600mの地点"を位置設定とし"B"と判定（2011/04/21）","","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.400～401・403
p.400（第4図）","（旧記）","","○","論文中には旧記によるとの記載があり．ただし『谷陵記』とは内容が異なるため，別のものと思われる．","","前報第8図　不明
第4図　タイトルなし浸水図（宝永or安政）

「（池内村の）池から西北に約600米隔たれる池内部落に小さな祠がある．伝へ曰ふ，宝永津浪は此の小祠に接した神田を浸したと．近頃此の神田から津浪時の漂流物らしいものを多く掘り出したさうだから，伝説は恐らく正確であらう．果して然らば津浪は平均海水面上12.6米の高さに達したことになる.」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","128","土佐市","宇佐","usa","うさ","高知県","土佐市","2008現在","","","土佐市宇佐　宇佐坂（安政の碑）","新測地系","33","27","21.000","133","26","15.000","○","○","","","","","","△","","","15.70","15.70","","浸水高","△","","","0.00","0.00","","","","C","痕跡地点の特定は困難であり"宇佐坂"を位置設定とし"C"と判定（2011/04/21）","","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.398～399・403
p.399（第3図）","","","","論文には宇佐について安政南海の被害は書かれていたが，宝永については書かれていなかったために追加．ただし引用史料・伝承は不明．","","第3図　タイトルなし浸水図

「此の坂（宇佐坂）の麓は其の海水面上の高さとして15.7米程に出て来た.（中略）」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","146","土佐町","久礼（久礼の焼坂方面）","kure","くれ","高知県","土佐市","2008現在","","","高知県高岡郡中土佐町久礼","新測地系","33","20","27.000","133","13","28.000","○","○","","実測","","","","△","","","25.70","25.70","","浸水高","△","","","0.00","0.00","","","","Z","文献信頼度が空白（文献信頼度備考参照）のため"Z"と判定（2010/12/12）","","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.402～403
p.402（第5図）","","","","測定根拠が文章から読み取れないため，空白とする．また「焼坂の麓まで」の解釈は厳密になしえないものである．","","第5図　タイトルなし浸水図（宝永or安政）

「久礼の北西方焼坂方面への津浪侵入界限は宝永安政両度共に比較的に明瞭に分つているから，これが実測を試みた（第5図参照）.其の結果として安政年度の津浪の到達した高さは16.1米となり，宝永年度の分は25.7米となった」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。

※焼坂峠は北西ではなく北東にあるように見える（白石註）",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","148","土佐町","久礼","kure","くれ","高知県","土佐市","2008現在","","","高知県高岡郡中土佐町久礼（土佐久礼駅）","新測地系","33","19","44.501","133","13","35.339","○","○","","","","","","△","","","24.00","24.00","","浸水高","△","","","0.00","0.00","","","","X","文献根拠が"×"のため"X"と判定（2010/12/12）","","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.402～403
p.402（第5図）","","","×","単に宝永は安政の2倍としたものであり，×である．","","第5図　タイトルなし浸水図（宝永or安政）

「宝永度に於ける波高は24米の程度」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
"0021","1707宝永地震津波","1707 Hoei","37","土佐に於ける寳永安政両度津浪の高さ","The Height of the 1707 Hoei and 1854 Ansei Tsunamis at Tosa","184","高知市","種崎","tanezaki","たねざき","高知県","高知市","2008現在","","","種崎簡易郵便局付近","新測地系","33","30","31.000","133","34","7.000","○","○","","「弘列筆記」","","","","△","","","21.00","24.00","7～8丈","浸水高","△","","","","","記載なし","","","精査中","高さに関して調査が必要と思われるため「精査中」とする（2013/8/10）","都司・松岡","土佐における宝永・安政両度津波の高さ","地震，第10巻，394-404（1938）","p.394・396～397・403
p.397（第2図）","弘列筆記","","◎","「弘列筆記」の引用文の文献信頼度である．","","第2図　タイトルなし浸水図

「種崎の浜は死人最も多し（中略）三度目の浪高さ七八丈ばか
り（後略）」

「宝永の高さは7，8丈（21～24m）に達した」","p.403に「波高に関する上記の結果を一表に纏めると次の通りになる」として表あり。",""
"0021","1707宝永地震津波","1707 Hoei","38","宝永津波　土佐國安藝町某家舊記","The 1707 Hoei Tsunami as Described in an Old Chronicle of a Family in Aki, Tosa","170","安芸市","安芸町","akicho","あきちょう","高知県","安芸市","2008現在","","","高知県安芸市（安芸市役所）@@ｐ37は津波侵入境界を示したもの","新測地系","33","30","9.166","133","54","25.798","○","○","","絵図","","","","△","","","0.00","0.00","","","△","","","0.00","0.00","","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","","宝永津波,土佐国安芸町某家旧記","地震，10，356-357","p.37","","","○","p37の史料を基にして現代に作成された地図であるので、○とする。","","図のみ「安芸町図　点線は津波侵入境界を示す」，「10月4日昼午刻大地しん致，万民きいの思ひをなし申候，さてちしん大形やまり申，旁々の家蔵いたみ申，半時のうちに大しを川より入申候に付人々さわぎ家材（財）を捨にげ申，前両度東浜え岸より下の家すきと（すべて）浪に流れ申，三番のしを大しを入，西東すきとながれ申候，其内横町中之町かどより上町の土居橋より北東は岸より上半町許西迄かきり，さて北がはは岸より上一町許西迄，後ろ川端まですきとながれ，其内八幡妙山寺観念寺常楽寺多門院是等はかまい無之，真慶寺は潰れ申，松田島・新","",""
"0021","1707宝永地震津波","1707 Hoei","39","和歌山縣下に於ける寳永安政年度の津浪状況調査","Survey on the Status of the 1707 Hoei and 1854 Ansei Tsunamis in Wakayama Prefecture","172","すさみ町","江住村","esumi","えすみむら","和歌山県","すさみ町","2008現在","","","和歌山県西牟婁郡すさみ町　周参三川河口部","新測地系","33","32","57.000","135","29","39.000","○","△","常時海面より2丈高い","","","","常時海面","○","","","6.00","6.00","2丈～","浸水高","△","","","0.00","0.00","","","","C","到達地点は確認できず"周参三川河口部"を位置設定とし"C"と判定（2010/10/12）","都司・松岡","和歌山県下における宝永・安政年度の津波状況調査","地震，10，236-249","p.238","","","△","原文献遡及できず．","","","「常時海面より二丈余の浸水あり」",""
"0021","1707宝永地震津波","1707 Hoei","47","増訂大日本地震史料　第二巻","Collection of Material for the history of Japanese Earthquakes(AD416-1847), RevisedEdition.  Vol.2","210","室戸市","元","Moto","もと","高知県","室戸市","2008現在","","","高知県室戸市元（親徳寺）","新測地系","33","17","46.000","134","6","54.000","○","△","","「谷陵記」","","","","△","","","0.00","0.00","慶長九年の津波高より6尺低い","浸水高","△","","","0.00","0.00","","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","『大日本地震史料』第二巻","","p104","「谷陵記」","","◎","文献id21-16には書かれていないが，別の良史料に書かれている地点．","","「殊ニ元村ノ如キハ慶長九年ノ潮ヨリ六尺卑カリシト云フ」","",""
"0021","1707宝永地震津波","1707 Hoei","47","増訂大日本地震史料　第二巻","Collection of Material for the history of Japanese Earthquakes(AD416-1847), RevisedEdition.  Vol.2","214","田辺市","田辺","Tanabe","たなべ","和歌山県","田辺市","2008現在","","2005.05.01","和歌山県田辺市、田辺城水門跡","新測地系","33","43","49.000","135","22","23.000","○","△","","","","","地上","○","","","3.50","3.50","3尺4～5寸(1.0)","浸水深","○","","","0.00","0.00","","","","B","到達地点として"田辺城水門跡"を位置設定とし"B"と判定（2010/10/25）","都司・松岡","『大日本地震史料』第二巻","地震研究所彙報、55，505-535","p126","宝永四年　安政元年震災記","田辺町鈴木融氏所蔵文書","◎","文献id21-23中の同地点（田辺）について，別文献を掲げたもの．論文がを元にした『和歌山県下における宝永安政年度の津浪状況調査』（和歌山県土木部編集）の総括集計は『田辺大帳』によっているとある。各被害家数は流失家屋・地震倒壊家屋・大破家屋の合計で、これ以外に全く無事であった家があったと思われるが、数字には加えられていない。この文献で言う総戸数とは田辺町を構成する町と江川浦での被災総戸数である。「死亡者三七」は、『田辺大帳』の十月四日の「町死人二十四人」と五日の「流死　二十人」のうち江川分十三人を加えて出されたものと推定されるが、四日（被災直後）は「死人二十四人」、五日（被災翌日）は「二十人」となっており、五日のほうが正確だろう。よって、田辺の町と江川における最終的な死亡者数は二十人と断定される。なお『田所氏記録』にも二十四人と記載されているが、これも四日の時点での記載だろう。","","","「田辺にては江川片町本町紺屋町の家々浪に流され残れる家もあり．浪は川を伝ひ入り、下秋津大庄屋目良弥右衛門の家の前まで大船浪に連れ行かれたるが二艘損申候．陸にては下方呂村天王池の際まで浪上る．然れども諸士の屋敷並湊新屋敷、新座町筋入は流れ入らず．袋町長町も町半分浪入る．其深さ三尺四五寸程也．御城内へは浪入らず浜手，裏御門は蹴放を浸せるばかりにて表御門前は芝の浜へ浜手より浪さし込み膝をすぐるに至る．馬場丁東の端役屋敷前迄浪来る．大手筋は片町表の堀より浪さし込む．御城は聊も恙無し．（中略）江川は大橋当春新しく掛け候所浪にて三つに切れ落ち流れ候．午下刻より同夜子刻時分迄大小の浪十二度．其内大浪五つは初也．」",""
"0021","1707宝永地震津波","1707 Hoei","47","増訂大日本地震史料　第二巻","Collection of Material for the history of Japanese Earthquakes(AD416-1847), RevisedEdition.  Vol.2","216","田辺市","田辺","Tanabe","たなべ","和歌山県","田辺市","2008現在","","2005.05.01","和歌山県田辺市、田辺城水門跡","新測地系","33","43","49.000","135","22","23.000","○","△","","","","","床面","○","","","1.90","1.90","5尺","浸水深","○","","","0.00","0.00","","","","B","到達地点として"田辺城水門跡"を位置設定とし"B"と判定（2010/10/25）","都司・松岡","『大日本地震史料』第二巻","地震研究所彙報、55，505-535","p203","田辺町大帳","","◎","文献id21-23中の同地点（田辺）について，別文献を掲げたもの．","","","「十月四日未の上刻大地震，土蔵古家等ゆりくづし無程津波上る．平次居宅にて床より五尺程上る．（中略）内町死人二十四人，本町筋過半流失，片町紺屋町過半流失，江川不残流れ申候．（中略）同五日之改，家蔵四百十一軒，内，百五十四軒浪に流，百三十八軒地震に潰，百十九軒大破，蔵八十一ヶ所，内六ヶ所流，七十五ヶ所潰，内町分也．一江川分　家数二百八十軒，内五十五軒潰，二百二十五軒流，蔵十六ヶ所，内九ヶ所潰，七ヶ所流，一流死二十人之内七人町，十三人江川，内三人男，十人女，馬一匹江川にて流死す．」",""
"0021","1707宝永地震津波","1707 Hoei","47","増訂大日本地震史料　第二巻","Collection of Material for the history of Japanese Earthquakes(AD416-1847), RevisedEdition.  Vol.2","218","田辺市","田辺","Tanabe","たなべ","和歌山県","田辺市","2008現在","","2005.05.01","和歌山県田辺市、田辺城水門跡","新測地系","33","43","49.000","135","22","23.000","○","△","","","","","","△","","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","『大日本地震史料』第二巻","地震研究所彙報、55，505-535","p175","和歌山県下における宝永安政年度の津波状況調査","","○","文献id21-23中の同地点（田辺）について，別文献を掲げたもの．","","","「田辺町　当時の総戸数六九一，蔵九七，流失家屋三七九，流失蔵一三，倒壊家屋三一二，倒壊蔵八四，死亡者三七（以下略）（田辺大帳）」",""
"0021","1707宝永地震津波","1707 Hoei","47","増訂大日本地震史料　第二巻","Collection of Material for the history of Japanese Earthquakes(AD416-1847), RevisedEdition.  Vol.2","322","田辺市","田辺","Tanabe","たなべ","和歌山県","田辺市","2008現在","","2005.05.01","和歌山県田辺市、田辺城水門跡","新測地系","33","43","49.000","135","22","23.000","○","△","","","","","","△","","","","","","記載なし","△","","","","","記載なし","","","Z","痕跡値なしのため"Z"と判定（2010/10/25）","都司・松岡","『大日本地震史料』第二巻","地震研究所彙報、55，505-535","p102","田所氏記録","","◎","文献id21-23中の同地点（田辺）について，別文献を掲げたもの．","","","「一十月四日、未上刻大地震、土蔵古家揺り崩、間もなく津浪上り、本町、片町、紺屋町、多く流失、江川浦不残流失、田辺大橋落申候、何様急なる事故、老人子供流死二十四人、（中略）夕方迄津浪三度来申候、（中略）一家数四百三十一軒　町　内百五十四軒　流失　百五十八軒　潰　百十九軒　大破　一家数二百八十軒　江川浦　内　五十五軒　潰　二百二十五軒　流失　一流失人二十四人　内　七人　男　十七人　女」",""
"0021","1707宝永地震津波","1707 Hoei","55","大湊町史","History of Ominato-cho","324","伊勢市","中須新田","nakasu-shinden","なかすしんでん","三重県","伊勢市","2008現在","","2005.11.01","三重県伊勢市中須町付近","新測地系","34","29","3.947","136","40","29.473","○","○","中須新田津波で荒地となる","「大湊町誌」","","","－","△","","","","","","記載なし","△","","","","","記載なし","","","Z","値が無いため"Z"と判定（2011/05/06）","都司・松岡","大湊町誌","地震，15，225-229","p.225","「大湊町誌」","","○","","『新収日本地震史料』第三巻別巻，p285","","※浸水高（数値）の記録は無いが、痕跡があるので、津波は到達していたと考える。@@｢中須新田は宝永四年の津浪にて荒地となりし(後略)｣",""
"0021","1707宝永地震津波","1707 Hoei","55","大湊町史","History of Ominato-cho","326","伊勢市","磯山","isoyama","いそやま","三重県","伊勢市","2008現在","","2005.11.01","三重県伊勢市大湊町八幡宮北方の海","新測地系","34","31","56.444","136","44","20.288","○","○","磯山海となる","「大湊町誌」","","","－","△","","","","","","記載なし","△","","","","","記載なし","","","Z","値が無いため"Z"と判定（2011/05/06）","都司・松岡","大湊町誌","地震，15，225-229","p.225","「大湊町誌」","","○","引用史料には，明応地震の項目に宝永地震津波のことが記載されている．それによると，明応地震津波によって地形が一変してしまい，その後宝永地震津波が襲った結果，磯山は崩壊・流失してしまったとある．つまり，磯山は宝永地震津波の被害を受けたことがここからわかる（明応地震津波によるわけではない）．","『新収日本地震史料』第一巻，p124","","｢宝永の大地震にあひて,八幡宮域北方の磯山崩潰流失し去りて海となり｣",""
