津波id,津波名,津波名(英語),文献id,文献名,文献名(英語),痕跡id,文献時代_市町村名,文献記載_地名,文献記載_かな,ひらがな・カナ,登録時_都道府県,登録時_市町村名,市町村名確認年月日,地点位置詳細情報,地名変遷等,地名_備考_仮位置,測地系,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,住所地番情報_信頼度,地図等情報_信頼度,測定対象物,証言等,津波堆積物_層厚,津波堆積物_出典,文献記載_測定基準面,文献記載_測定基準_信頼度,地盤変位z,最大波,文献記載_痕跡高_下限,文献記載_痕跡高_上限,文献記載_史料記載値,文献記載_痕跡パターン,文献記載_高さ定義_信頼度,文献記載の痕跡高さ備考,tp_基準面補正方法,tp_痕跡高_下限,tp_痕跡高_上限,tp_痕跡パターン,測定方法,測定方法_その他,痕跡信頼度,判定理由,信頼度判定者,文献,雑誌,参照頁等,引用史料,原資料所在,文献信頼度,文献信頼度―備考,史料集名等,記載内容及び図表,原文備考,検潮所名
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","121","南伊豆町","妻良","Mera","めら","静岡県","南伊豆町","2008現在","","","静岡県賀茂郡南伊豆町妻良","新測地系","34","39","36.000","138","47","28.000","○","○","","","","","","△","","","4.49","4.49","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.292～293
p.292（№4第3図）","","","○","伝承によるか","『日本地震史料』，1951，P248","№4第3図　タイトルなし浸水図","安政東海地震で浸水戸数100戸内外（当時戸数146戸の内），流出倒壊家屋5戸（流出2戸，倒壊3戸），船破損多数，死傷者なし",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","125","土肥町","旧屋形村","kyu yakata mura","きゅうやかたむら","静岡県","伊豆市","2012現在","","2004.04.01","静岡県伊豆市土肥","新測地系","34","54","27.000","138","47","27.000","○","○","","","","","","△","","","4.40","4.40","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.291～292
p.291（№3附図１）","","","○","伝承によるか","『日本地震史料』，1951，P247","№3附図１　タイトルなし浸水図","安政東海の津波で土肥町，浸水戸数56戸,内屋形村21戸（全戸数浸水）大藪村25戸（総戸数92戸），流出家屋屋形村2件，船流出破損多数，死者13名内屋形村11名大藪村2名，傷者22名内屋形村",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","131","土肥町","旧大藪村","kyu oyabu mura","きゅうおおやぶむら","静岡県","伊豆市","2012現在","","2004.04.01","静岡県伊豆市土肥","新測地系","34","54","51.000","138","47","25.000","○","○","","","","","","△","","","5.00","5.00","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.291～292
p.291（№3附図１）","","","○","伝承によるか","『日本地震史料』，1951，P247","№3附図１　タイトルなし浸水図","安政東海の津波で土肥町，浸水戸数56戸,内屋形村21戸（全戸数浸水）大藪村25戸（総戸数92戸），流出家屋屋形村2件，船流出破損多数，死者13名内屋形村11名大藪村2名，傷者22名内屋形村",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","217","南伊豆町","子浦","Koura","こうら","静岡県","南伊豆町","2008現在","","","静岡県賀茂郡南伊豆町子浦","新測地系","34","40","15.000","138","47","6.000","○","○","","","","","","△","","","5.29","5.29","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293
p.293(№5第4図)","","","○","伝承によるか","『日本地震史料』，1951，P248","№5第4図　タイトルなし浸水図","浸水戸数100戸くらい（当時戸数140～150の内），流出倒壊家屋6戸（流出東部3戸西部1戸，倒壊西部2戸），船破損多数，死者西部2名，傷者不明，1の浪引きし時は妻良より子浦まで一直線に徒歩出来るよう汐が引きし由，水深約3尋",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","219","下田町","毘沙子島","misagojima","みさごじま","静岡県","下田市","2010現在","","","静岡県下田市毘沙子島","新測地系","34","40","25.000","138","57","19.000","○","△","","","","","平常水面か","△","","","7.00","7.00","","片振幅","○","引き潮の大きさについてなので、値にマイナスをつけた。","","0.00","0.00","記載なし","","","C","伝聞による記録である。(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293～294","","","○","言い伝えの近代採取であり，○とする．","『日本地震史料』，1951，P248","","「毘沙子島付近の水深は約7米なれば約7米汐引きしこととなる津浪の際水面の上昇約7米と調査さるる故結局津浪の水位が約7米引きしこととなる．」",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","231","南伊豆町","子浦","Koura","こうら","静岡県","南伊豆町","2008現在","","","静岡県賀茂郡南伊豆町子浦","新測地系","34","40","15.981","138","47","16.947","○","○","","","","","","△","","","6.14","6.14","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293
p.293(№5第4図)","","","○","伝承によるか","『日本地震史料』，1951，P248","№5第4図　タイトルなし浸水図","浸水戸数100戸くらい（当時戸数140～150の内），流出倒壊家屋6戸（流出東部3戸西部1戸，倒壊西部2戸），船破損多数，死者西部2名，傷者不明，1の浪引きし時は妻良より子浦まで一直線に徒歩出来るよう汐が引きし由，水深約3尋",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","233","下田市","下田（旧下田町）","shimoda (kyu shimodacho)","しもだ（きゅうしもだちょう）","静岡県","下田市","2010現在","","","静岡県下田市","新測地系","34","40","23.627","138","56","27.858","○","○","","","","","","△","","","5.60","5.60","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293～295
p.293（№6第5図）","","","○","伝承によるか","『日本地震史料』，1951，P249","№6第5図　タイトルなし浸水図","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","235","下田市","下田（旧岡方村）","shimoda (kyu okagatamura)","しもだ（きゅうおかがたむら）","静岡県","下田市","2010現在","2010年11月現地踏査で得た、旧岡方村位置に移動","","","新測地系","34","40","25.000","138","56","28.000","○","○","","","","","","△","","","4.80","4.80","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293～295
p.293（№6第5図）","","","○","伝承によるか","『日本地震史料』，1951，P249","№6第5図　タイトルなし浸水図","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","237","下田市","下田（旧柿崎村）","shimoda (kyu kakizakimura)","しもだ（きゅうかきざきむら）","静岡県","下田市","2010現在","","","静岡県下田市","新測地系","34","40","27.917","138","57","47.297","○","○","","","","","","△","","","6.70","6.70","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293～295
p.293（№6第5図）","","","○","伝承によるか","『日本地震史料』，1951，P249","№6第5図　タイトルなし浸水図","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","239","下田市","下田（旧下田町）","shimoda (kyu shimodacho)","しもだ（きゅうしもだちょう）","静岡県","下田市","2010現在","","","静岡県下田市","新測地系","34","40","16.000","138","56","37.000","○","○","","","","","","△","","","5.70","5.70","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293～295
p.293（№6第5図）","","","○","伝承によるか","『日本地震史料』，1951，P249","№6第5図　タイトルなし浸水図","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","241","新居町","新居","arai","あらい","静岡県","新居町","2010現在","","","静岡県浜名郡新居町","新測地系","34","41","39.744","137","33","43.329","○","○","","匹田氏の手記","","","","△","","","3.00","3.00","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.296～298
p.296（№12附図第6図）","匹田氏の手記","","◎","匹田氏の手記：潰家二六軒，半壊大破不明，溺死者一四人（乗船中の人の如し），地震怪我人一人","『日本地震史料』，1951，P250","№12附図第6図　タイトルなし浸水図（宝永or安政）","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","243","下田市","下田（旧柿崎村）","shimoda (kyu kakizakimura)","しもだ（きゅうかきざきむら）","静岡県","下田市","2010現在","","","静岡県下田市","新測地系","34","40","22.603","138","57","51.520","○","○","","","","","","△","","","6.70","6.70","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.293～295
p.293（№6第5図）","","","○","伝承によるか","『日本地震史料』，1951，P249","№6第5図　タイトルなし浸水図","",""
"0044","1854安政東海地震津波","1854 Ansei Tokai","34","安政及び寳永年度の南海道地震津波に関する史料","Historical Materials of the Nankaido Earthquake Tsunami in 1707 and 1854","245","舞阪町","舞阪","Maisaka","まいさか","静岡県","浜松市","2012現在","","2005.7.1","静岡県浜松市舞阪","新測地系","34","40","59.000","137","36","34.000","○","○","","","","","","△","","","4.90","4.90","","浸水高","○","","","0.00","0.00","記載なし","","","B","高さの測定方法は不明だが、痕跡位置及び水位が明示されている(2010/10/06)","都司・松岡","安政及び宝永年度の南海道地震津波に関する史料","地震，第7巻P291－298（1935）","p.296・298
p.296（№12附図第6図）","","","○","伝承によるか","『日本地震史料』，1951，P251","№12附図第6図　タイトルなし浸水図（宝永or安政）","安政時代には二六〇戸位あり全戸浸水流失家屋死者等はなし，津浪の際には町の中央部南の神社及寺のあるやや高地に避難せし由．浸水区域は舞阪町全部（一部の高地を除く），篠原村馬郡，雄踏村宇布見の低地全部浸水せしが如きも区域不明．",""
